observableId	simulationConditionId	time	measurement	noiseParameters	replicateId
obs_p1	cond0	0.0	0.3368289020015524	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	10.0	5.654499653307252	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	20.0	8.759870567000863	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	30.0	11.526149320290859	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	40.0	8.402131837315556	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	50.0	7.41128549295804	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	0.0	-0.1308391751854302	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	10.0	46.87189662028777	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	20.0	136.76776212172635	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	30.0	203.85226018698555	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	40.0	275.02572486200484	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	50.0	346.1130951944303	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	0.0	0.7191136952861427	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	10.0	0.4330498158107178	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	20.0	3.5198696998893744	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	30.0	5.688503103762976	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	40.0	7.142578343778029	sigma_rel_medium;sigma_abs_medium	rep1
obs_p8	cond0	50.0	18.010736493413987	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	0.0	0.5810474736488098	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	10.0	0.14937807234366052	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	20.0	0.781316226141952	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	30.0	2.5352736608799926	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	40.0	3.471147045590716	sigma_rel_medium;sigma_abs_medium	rep1
obs_p10	cond0	50.0	8.947615230113342	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	0.0	-0.4393923324224005	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	10.0	1.6547500368685901	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	20.0	0.37464015335008316	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	30.0	4.689868993915171	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	40.0	7.357068717684124	sigma_rel_medium;sigma_abs_medium	rep1
obs_p11	cond0	50.0	9.007133835258266	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	0.0	0.49365926830425666	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	10.0	3.51405565750604	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	20.0	7.80376429196247	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	30.0	14.376930068635065	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	40.0	15.091507520689227	sigma_rel_medium;sigma_abs_medium	rep1
obs_p15	cond0	50.0	12.68646248130118	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	0.0	0.18857941091909258	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	10.0	2.6110038943054996	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	20.0	10.822617919725522	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	30.0	18.070355805919267	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	40.0	37.345491949187874	sigma_rel_medium;sigma_abs_medium	rep1
obs_p16	cond0	50.0	40.5447941311885	sigma_rel_medium;sigma_abs_medium	rep1
obs_p22	cond0	0.0	-0.00012517952287940427	sigma_rel_medium;sigma_abs_medium	rep1
obs_p22	cond0	10.0	9.695418520973451	sigma_rel_medium;sigma_abs_medium	rep1
obs_p22	cond0	20.0	23.84954413204374	sigma_rel_medium;sigma_abs_medium	rep1
