observableId	simulationConditionId	time	measurement	noiseParameters	replicateId
obs_p1	cond0	0.0	-0.09124143824897492	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	2.5	-0.06741582168804358	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	5.0	0.7526734658352492	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	7.5	0.9813286008779519	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	10.0	1.048196652948498	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	12.5	1.0335837221675148	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	15.0	1.7621561989431773	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	17.5	1.5693790305925046	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	20.0	2.070099798501334	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	22.5	2.2662757328097056	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	25.0	3.7663657785471365	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	27.5	4.316554597124768	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	30.0	5.051311614369974	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	32.5	5.494561063082115	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	35.0	4.829294489309633	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	37.5	4.426599446197078	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	40.0	7.28090738929272	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	42.5	6.227111430864643	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	45.0	5.688895364487652	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	47.5	8.010375279282863	sigma_rel_medium;sigma_abs_medium	rep1
obs_p1	cond0	50.0	7.764800435728447	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	0.0	0.2693248190280338	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	2.5	0.18252090387816242	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	5.0	0.5648833991386977	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	7.5	1.6388532631698682	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	10.0	2.7577052129106137	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	12.5	3.413098788866204	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	15.0	4.057880704984425	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	17.5	6.234920695922631	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	20.0	8.441941665129509	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	22.5	8.263892816595405	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	25.0	10.767080214319483	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	27.5	11.341012084358784	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	30.0	17.344226794987424	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	32.5	16.928230579509947	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	35.0	17.28055200412846	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	37.5	16.680816605318977	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	40.0	17.26217146516899	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	42.5	20.069712408432558	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	45.0	23.651161322355197	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	47.5	25.956474805090192	sigma_rel_medium;sigma_abs_medium	rep1
obs_p2	cond0	50.0	24.14120841429956	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	0.0	-0.133830703089984	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	2.5	0.9451666474278426	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	5.0	4.060046764179621	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	7.5	7.877458917270043	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	10.0	16.07027222818731	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	12.5	14.134474401231447	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	15.0	23.2758020020809	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	17.5	27.346468658385994	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	20.0	32.85212945574227	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	22.5	49.78673584517877	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	25.0	45.84107782104044	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	27.5	60.983114396831134	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	30.0	76.17065324015398	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	32.5	65.97368393886282	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	35.0	117.8970829182983	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	37.5	134.54135855186715	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	40.0	115.09330769313051	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	42.5	127.98017878958565	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	45.0	119.56950340096938	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	47.5	136.8058006540222	sigma_rel_medium;sigma_abs_medium	rep1
obs_p3	cond0	50.0	171.68645883887012	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	0.0	0.03216806229268832	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	2.5	0.34418502852387256	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	5.0	0.9996292344067713	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	7.5	1.070528012379199	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	10.0	2.831409235132957	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	12.5	5.4333164651069	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	15.0	4.925480074953333	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	17.5	7.4448662603506515	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	20.0	8.964662734765858	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	22.5	12.131633840907044	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	25.0	8.175669522846	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	27.5	15.306724761061131	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	30.0	12.897461900774152	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	32.5	16.940791762910475	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	35.0	19.69260581115569	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	37.5	17.045992277361094	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	40.0	21.338501592799247	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	42.5	22.6228897167995	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	45.0	24.394392072815055	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	47.5	29.172348960100308	sigma_rel_medium;sigma_abs_medium	rep1
obs_p4	cond0	50.0	27.44255104475629	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	0.0	0.35835581304458963	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	2.5	0.9070380637809106	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	5.0	0.5566238305947427	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	7.5	0.9692188734975519	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	10.0	1.7100087901958876	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	12.5	1.9368082023649256	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	15.0	2.757521007017516	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	17.5	2.954577992235788	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	20.0	3.4267258714786397	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	22.5	3.927667292620024	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	25.0	7.779697633218707	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	27.5	11.045198140248285	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	30.0	19.697294796933047	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	32.5	33.21504129356094	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	35.0	44.585739733849515	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	37.5	80.24267727312296	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	40.0	87.01884069889874	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	42.5	109.52517327166738	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	45.0	149.58402552366405	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	47.5	196.28895593860832	sigma_rel_medium;sigma_abs_medium	rep1
obs_p5	cond0	50.0	262.4550468506856	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	0.0	0.11013886957459174	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	2.5	0.21437995435537943	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	5.0	0.4627792908343756	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	7.5	1.4339264361280377	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	10.0	1.384557992208641	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	12.5	1.4939423861453993	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	15.0	2.009271389431909	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	17.5	2.611927066397924	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	20.0	2.5412193358755233	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	22.5	3.174352987634864	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	25.0	3.4716970564078005	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	27.5	3.3639551435367028	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	30.0	2.8939406569212327	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	32.5	3.0225951960577566	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	35.0	3.2462314343914107	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	37.5	3.543010222795848	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	40.0	3.6978125541116738	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	42.5	3.1861599777426295	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	45.0	4.586884414239368	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	47.5	3.2444759471792013	sigma_rel_medium;sigma_abs_medium	rep1
obs_p6	cond0	50.0	2.957615294908017	sigma_rel_medium;sigma_abs_medium	rep1
